City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,saldanha,-33.0117,17.9442,15.03,84,0,8.26,ZA,1703025560
108,leava,-14.3,-178.1667,28.55,79,75,4.74,WF,1703025561
109,tura,25.5198,90.2201,13.89,83,56,1.55,IN,1703025561
110,harper,4.375,-7.7169,27.05,83,77,3.05,LR,1703025561
111,new ulm,44.3125,-94.4605,3.21,71,0,2.57,US,1703025561
112,puerto real,36.5282,-6.1901,9.03,87,0,0.51,ES,1703025548
113,waseca,44.0777,-93.5074,2.94,69,0,3.6,US,1703025561
114,polyarnyy,69.1989,33.4478,-11.0,92,100,0.78,RU,1703025561
115,constantia,44.1833,28.65,3.17,75,0,4.22,RO,1703025561
116,margaret river,-33.95,115.0667,17.8,59,90,5.86,AU,1703025561
117,ak-suu,42.4995,78.527,-3.7,71,97,2.9,KG,1703025561
118,priozersk,61.0393,30.1291,0.53,47,10,7.68,RU,1703025561
119,enewetak,11.3474,162.3373,27.17,75,100,10.8,MH,1703025561
120,paradip garh,20.3167,86.6167,16.83,46,64,4.45,IN,1703025561
121,tabas,33.5959,56.9244,8.59,48,14,1.15,IR,1703025561
122,thompson,55.7435,-97.8558,-19.91,77,20,2.06,CA,1703025561
123,fort bragg,35.139,-79.006,6.91,43,0,2.57,US,1703025364
124,klyuchi,52.2667,79.1667,-8.73,93,97,3.68,RU,1703025562
125,shirochanka,46.6497,38.3978,5.06,94,79,4.24,RU,1703025562
126,ust-nera,64.5667,143.2,-37.89,100,99,1.79,RU,1703025562
127,pandan,14.0453,124.1694,26.33,86,38,4.78,PH,1703025562
128,belokurikha,51.9959,84.9896,-8.59,76,100,2.04,RU,1703025562
129,ialibu,-6.2821,143.9935,16.29,90,100,0.36,PG,1703025562
130,remire-montjoly,4.9167,-52.2667,28.02,83,75,2.06,GF,1703025562
131,bogo,11.0517,124.0055,26.04,87,74,1.93,PH,1703025562
132,richards bay,-28.783,32.0377,21.91,82,98,1.7,ZA,1703025562
133,carutapera,-1.195,-46.02,26.4,82,87,2.98,BR,1703025562
134,malango,-2.9627,119.9001,21.42,96,100,0.39,ID,1703025562
135,shingu,33.7333,135.9833,5.92,86,100,3.13,JP,1703025559
136,atafu village,-8.5421,-172.5159,28.99,74,88,3.92,TK,1703025562
137,jayapura,-2.5333,140.7,25.66,92,100,2.08,ID,1703025562
138,anadyr,64.75,177.4833,-24.72,75,0,5.0,RU,1703025563
139,cooper's town,26.8667,-77.5167,20.94,62,0,10.61,BS,1703025563
140,hithadhoo,-0.6,73.0833,27.92,78,87,3.23,MV,1703025563
141,novo aripuana,-5.1206,-60.3797,25.49,90,90,2.28,BR,1703025563
142,nar'yan-mar,67.6713,53.087,-12.72,97,86,4.47,RU,1703025563
143,howrah,22.5892,88.3103,15.0,82,19,2.06,IN,1703025563
144,puerto montt,-41.4698,-72.9447,23.46,40,0,5.14,CL,1703025563
145,agde,43.3108,3.4758,8.82,76,0,5.14,FR,1703025563
146,labytnangi,66.6572,66.4183,-17.17,99,100,1.7,RU,1703025563
147,ejura,7.3856,-1.3562,24.52,19,1,1.35,GH,1703025563
148,kristinestad,62.2743,21.376,1.72,71,100,12.31,FI,1703025563
149,argo,37.6333,22.7333,10.99,60,0,0.94,GR,1703025563
150,san mariano,7.5,126.0,23.01,91,52,1.12,PH,1703025563
151,haiku-pauwela,20.9219,-156.3051,25.7,75,40,9.26,US,1703025563
152,alesund,62.4723,6.1549,3.08,64,20,7.72,NO,1703025564
153,arvayheer,46.2639,102.775,-27.13,75,1,3.09,MN,1703025564
154,kindu,-2.95,25.95,21.17,98,100,0.76,CD,1703025564
155,codrington,-38.2667,141.9667,14.38,55,67,7.28,AU,1703025564
156,utrik,11.2278,169.8474,27.07,76,79,10.64,MH,1703025564
157,porto murtinho,-21.6989,-57.8825,30.06,59,100,2.34,BR,1703025564
158,port blair,11.6667,92.75,28.02,78,20,3.09,IN,1703025564
159,gadzhiyevo,69.2551,33.3362,-11.69,95,100,0.79,RU,1703025564
160,punta arenas,-53.15,-70.9167,16.06,59,75,6.69,CL,1703025564
161,kununurra,-15.7667,128.7333,28.99,94,92,3.09,AU,1703025564
162,galveston,29.3669,-94.9669,17.06,74,0,5.66,US,1703025564
163,kerikeri,-35.2268,173.9474,24.95,74,98,0.89,NZ,1703025564
164,lashio,22.9333,97.75,10.73,97,12,0.77,MM,1703025564
165,dryden,49.7833,-92.7503,-2.84,63,100,5.14,CA,1703025564
166,laracha,43.2537,-8.5854,11.75,94,100,2.06,ES,1703025564
167,houlton,46.1262,-67.8403,4.29,93,0,2.06,US,1703025564
168,tolanaro,-25.0319,46.9987,25.04,83,40,4.12,MG,1703025565
169,sao jose da coroa grande,-8.8978,-35.1478,24.87,88,100,4.04,BR,1703025565
170,macau,22.2006,113.5461,11.89,82,40,10.29,MO,1703025565
171,khandyga,62.6667,135.6,-46.72,100,99,0.71,RU,1703025565
172,daru,-9.0763,143.2092,24.91,94,100,1.88,PG,1703025565
173,ancud,-41.8697,-73.8203,17.32,64,1,1.66,CL,1703025565
174,gonabad,34.3529,58.6837,3.98,67,48,1.49,IR,1703025565
175,rio gallegos,-51.6226,-69.2181,22.03,37,20,9.26,AR,1703025565
176,taoudenni,22.6783,-3.9836,12.81,42,19,5.49,ML,1703025565
177,bol,13.4586,14.7147,23.98,47,9,5.26,TD,1703025565
178,berdigestyakh,62.0989,126.6992,-26.58,99,100,0.97,RU,1703025565
